Task_ID,Department,System_Phase,UAT_Script_Pass_Status,Baseline_Processing_Hours,DMAIC_Optimized_Hours,Backlog_Reduction_Pct,Team_Member_FTE_Allocation,Weekly_Volume_Handled
UAT-2026-001,Student Finance,Workday ERP Cutover,Passed,11.84,8.5,0.2821,1.05,190
UAT-2026-002,Registrar,Workday ERP Cutover,Passed,11.49,8.5,0.2602,1.22,243
UAT-2026-003,Student Finance,Legacy Colleague ERP,Passed,9.6,7.75,0.1927,0.97,281
UAT-2026-004,Student Finance,Legacy Colleague ERP,Failed,5.08,4.1,0.1929,1.41,151
UAT-2026-005,Registrar,Legacy Colleague ERP,Passed,9.96,8.06,0.1908,1.55,164
UAT-2026-006,Registrar,Legacy Colleague ERP,Passed,5.77,4.71,0.1837,0.96,266
UAT-2026-007,Academic Advising,Workday ERP Cutover,Passed,8.44,6.62,0.2156,1.83,62
UAT-2026-008,Student Finance,Workday ERP Cutover,Passed,11.94,8.5,0.2881,0.94,189
UAT-2026-009,Academic Advising,Workday ERP Cutover,Passed,7.2,5.67,0.2125,1.49,146
UAT-2026-010,Student Finance,Workday ERP Cutover,Passed,5.09,4.04,0.2063,1.18,116
UAT-2026-011,Academic Advising,Legacy Colleague ERP,Passed,9.39,7.49,0.2023,0.74,54
UAT-2026-012,Admissions,Legacy Colleague ERP,Passed,4.54,3.57,0.2137,1.13,163
UAT-2026-013,Admissions,Legacy Colleague ERP,Passed,9.09,7.1,0.2189,1.4,150
UAT-2026-014,Academic Advising,Legacy Colleague ERP,Passed,7.67,6.0,0.2177,0.61,110
UAT-2026-015,Registrar,Legacy Colleague ERP,Passed,5.28,4.27,0.1913,1.23,189
UAT-2026-016,Registrar,Workday ERP Cutover,Passed,7.27,5.94,0.1829,0.76,264
UAT-2026-017,Registrar,Workday ERP Cutover,Passed,11.88,8.5,0.2845,1.45,140
UAT-2026-018,Registrar,Legacy Colleague ERP,Passed,7.36,5.8,0.212,1.84,280
UAT-2026-019,Admissions,Legacy Colleague ERP,Passed,7.18,5.69,0.2075,0.74,76
UAT-2026-020,Academic Advising,Legacy Colleague ERP,Passed,10.29,8.08,0.2148,1.08,117
UAT-2026-021,Academic Advising,Legacy Colleague ERP,Passed,5.85,4.73,0.1915,1.94,65
UAT-2026-022,Admissions,Legacy Colleague ERP,Passed,6.73,5.4,0.1976,1.78,258
UAT-2026-023,Student Finance,Workday ERP Cutover,Passed,5.65,4.47,0.2088,1.4,153
UAT-2026-024,Registrar,Legacy Colleague ERP,Passed,5.01,3.93,0.2156,1.85,268
UAT-2026-025,Student Finance,Workday ERP Cutover,Passed,4.94,3.99,0.1923,1.8,107
